Page Name,Page Name,Page Views,Onload (s),TCP (s),First Byte (s),DNS (s),DOM Duration (s),SSL (s),Redirect (s),Base Page (s),Time To DOM Interactive (s),Time To DOM Content Loaded (s),JS Errors (Sampled),Time To Interactive (s),First Contentful Paint (s),Largest Contentful Paint (s),Total Blocking Time (s),First Input Delay Duration (s),Cumulative Layout Shift
"product-list,,""503,899"",4.96,0.03,0.65,0.03,3.99,0.02,0.01,0.08,1.96,2.06,640,4.70,1.73,2.23,1.33,0.10,0.050"
"product-detail,,""412,193"",4.29,0.01,0.61,0.01,3.38,0.01,0.01,0.02,1.39,1.62,""1,332"",5.15,1.77,2.16,0.99,0.06,0.120"
"homepage,,""148,199"",4.12,0.06,0.14,0.07,3.21,0.04,0.08,0.02,1.73,1.92,239,7.30,1.91,2.34,0.78,0.04,0.032"
"Inspiration,,""43,412"",5.89,0.12,0.32,0.10,4.87,0.08,0.00,0.04,2.29,2.68,39,7.22,2.85,3.64,0.96,0.10,0.030"
"cart,,""8,475"",4.36,0.03,0.96,0.04,3.22,0.02,0.01,0.03,2.03,2.08,23,4.66,2.24,2.70,0.41,0.04,0.111"
"Add to Cart,,""7,629"",0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.96,0.00,0.00,0.00,0.00,N/A"
"boutique-locator,,""7,271"",4.45,0.02,0.43,0.02,3.69,0.02,0.05,0.02,1.52,1.82,20,6.29,1.65,3.37,0.73,0.03,0.037"
"service,,""5,225"",3.55,0.02,0.51,0.01,2.79,0.01,0.05,0.02,1.38,1.49,5,4.00,1.67,2.13,0.79,0.05,0.119"
"Discovery,,""5,087"",4.93,0.03,0.21,0.03,4.41,0.02,0.00,0.04,1.53,1.74,11,6.33,1.52,2.11,0.74,0.06,0.040"
"account,,""4,349"",3.88,0.02,1.10,0.01,2.45,0.01,0.13,0.01,2.07,2.23,21,4.27,1.99,2.28,0.40,0.03,0.194"
"Inspiration - Sartoria Solomeo,,""1,989"",2.84,0.01,0.38,0.00,2.29,0.01,0.00,0.01,0.96,1.01,1,2.18,1.22,1.83,0.80,0.02,0.072"
"Inspiration - Kids New Arrivals,,""1,510"",5.12,0.04,0.48,0.05,4.09,0.03,0.00,0.03,1.73,1.81,2,4.97,1.76,2.25,1.76,0.16,0.071"
"Inspiration - Home Studio,,""1,476"",3.95,0.07,0.28,0.05,3.25,0.05,0.00,0.02,1.38,1.57,0,3.83,1.69,2.54,0.80,0.03,0.044"
"exclusive-service,,""1,281"",3.14,0.01,0.61,0.01,2.35,0.01,0.01,0.01,1.45,1.64,2,3.91,1.43,1.79,0.66,0.02,0.065"
"shipping,,""1,242"",4.75,0.01,0.67,0.01,3.96,0.00,0.03,0.01,2.17,2.38,33,7.99,1.44,1.48,0.49,0.17,0.057"
"login,,""1,229"",2.16,0.01,0.42,0.00,1.64,0.00,0.00,0.01,0.97,1.24,8,2.75,1.46,1.25,0.31,0.04,0.068"
"404,,""1,227"",3.23,0.02,0.50,0.01,2.41,0.01,0.08,0.03,1.56,1.61,0,3.77,2.04,2.54,0.21,0.08,0.103"
"contactus,,""1,134"",4.14,0.03,0.64,0.02,3.22,0.02,0.05,0.03,1.71,1.84,1,3.80,1.96,2.28,0.61,0.03,0.069"
Inspiration - Stories,,960,5.04,0.01,0.31,0.01,4.27,0.01,0.23,0.01,1.47,1.73,0,3.46,1.63,2.14,0.61,0.04,0.176
confirmation,,955,7.29,0.00,3.04,0.00,3.26,0.00,0.79,0.00,4.37,4.75,22,5.93,5.73,5.95,0.17,0.01,0.045
Inspiration - Jewelry Creations,,906,2.54,0.01,0.40,0.01,1.95,0.01,0.00,0.02,1.05,1.14,0,2.63,1.65,2.30,0.56,0.02,0.394
wishlist,,793,3.87,0.02,1.60,0.02,2.07,0.01,0.00,0.01,2.49,2.53,189,3.65,2.64,2.83,0.28,0.03,0.043
Inspiration - Leisure Travel,,740,3.12,0.01,0.50,0.01,2.50,0.00,0.00,0.01,0.96,1.01,1,2.53,1.49,2.10,1.38,0.04,0.628
Inspiration - Dining,,506,3.13,0.04,0.38,0.04,2.51,0.03,0.00,0.01,1.16,1.20,1,2.11,1.42,2.05,0.25,0.03,0.642
billing-payment,,285,3.53,0.03,0.62,0.01,2.36,0.01,0.45,0.04,1.53,1.59,0,3.98,1.40,2.17,0.73,0.01,0.068
Return - Confirm,,276,3.12,0.02,0.57,0.02,2.31,0.01,0.00,0.01,1.11,1.15,1,1.68,1.05,1.74,0.53,0.00,0.264
Return - Open,,275,2.68,0.01,0.85,0.00,1.75,0.01,0.00,0.01,1.32,1.45,2,3.07,1.41,1.47,0.35,0.01,0.013
500,,249,1.65,0.00,0.31,0.00,1.21,0.00,0.01,0.01,0.81,0.86,0,1.37,1.16,1.28,0.00,0.01,0.009
Unnamed_Page,,91,5.57,0.05,0.68,0.02,4.58,0.09,0.00,0.04,2.01,2.90,0,6.05,1.79,2.87,1.24,0.02,0.243
Stories-Show,,49,2.77,0.02,0.65,0.03,1.99,0.02,0.00,0.00,1.06,1.08,0,1.51,1.73,1.92,0.00,0.00,N/A
setpassword,,42,4.29,0.12,0.61,0.06,2.42,0.06,0.00,0.01,2.35,2.40,0,11.25,3.38,3.77,0.00,0.01,0.045
CSRF-Fail,,25,3.60,0.00,0.60,0.00,2.76,0.00,0.03,0.00,2.31,2.34,0,15.34,1.79,1.93,0.00,0.01,0.092
Cookie-BoutiqueSelection,,21,3.64,0.02,0.39,0.02,3.08,0.02,0.00,0.00,0.98,1.15,0,0.00,1.19,2.64,0.00,0.02,N/A
Inspiration - Tales from the Heart,,20,8.19,0.01,0.39,0.00,7.68,0.01,0.00,0.00,1.03,1.09,0,6.57,3.13,4.77,7.63,0.00,0.092
Inspiration - The Magic of Suits,,20,4.79,0.00,0.64,0.00,4.00,0.00,0.00,0.00,1.08,1.25,0,7.08,1.01,1.79,0.00,0.00,0.008
Inspiration - Comfort Relax,,20,17.68,0.49,1.24,0.05,15.29,0.48,0.00,0.11,5.34,10.22,0,15.85,9.78,9.02,2.11,0.27,0.833
Password Reset,,7,5.88,0.20,0.54,0.07,4.41,0.20,0.18,0.00,2.01,2.30,0,3.40,0.00,0.00,0.00,0.00,N/A
Account-CloseDoubleOptIn,,7,9.78,0.07,4.09,0.04,4.41,0.05,0.00,0.00,6.81,6.88,0,21.00,0.00,0.00,0.00,0.00,N/A
product-look,,1,0.79,0.00,0.43,0.00,0.35,0.00,0.00,0.00,0.45,0.47,0,0.00,0.00,0.00,0.00,0.00,N/A
