Page Name,Page Name,Page Views,Onload (s),TCP (s),First Byte (s),DNS (s),DOM Duration (s),SSL (s),Redirect (s),Base Page (s),Time To DOM Interactive (s),Time To DOM Content Loaded (s),JS Errors (Sampled),Time To Interactive (s),First Contentful Paint (s),Largest Contentful Paint (s),Total Blocking Time (s),First Input Delay Duration (s),Cumulative Layout Shift
"product-list,,""576,511"",4.38,0.04,0.58,0.04,3.37,0.03,0.01,0.07,1.92,1.96,726,4.08,1.68,2.03,1.25,0.08,0.043"
"product-detail,,""429,479"",4.09,0.01,0.59,0.01,3.22,0.00,0.01,0.02,1.36,1.54,""1,303"",4.76,1.72,2.04,0.94,0.06,0.126"
"homepage,,""115,195"",3.66,0.04,0.14,0.05,2.93,0.03,0.11,0.04,1.58,1.72,172,6.44,1.77,2.23,0.78,0.04,0.029"
"Unnamed_Page,,""30,291"",4.02,0.06,0.49,0.07,3.15,0.04,0.01,0.06,1.81,1.86,33,3.77,1.61,2.15,0.90,0.05,0.039"
"Inspiration,,""28,309"",4.66,0.10,0.26,0.07,3.84,0.06,0.01,0.03,1.81,1.98,34,4.84,2.20,2.88,1.73,0.10,0.048"
"cart,,""8,264"",4.21,0.03,0.94,0.03,3.12,0.02,0.01,0.03,2.00,2.05,28,4.29,2.06,2.51,0.44,0.05,0.125"
"boutique-locator,,""7,922"",3.76,0.03,0.42,0.03,3.03,0.02,0.04,0.03,1.52,1.70,11,6.05,1.73,3.23,0.52,0.03,0.034"
"Add to Cart,,""7,734"",0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.89,0.00,0.00,0.00,0.00,N/A"
"Discovery,,""6,653"",4.75,0.03,0.18,0.04,4.12,0.02,0.01,0.03,1.62,1.80,11,12.30,1.79,2.06,0.47,0.07,0.043"
"service,,""5,118"",3.04,0.03,0.52,0.01,2.32,0.02,0.01,0.02,1.30,1.34,7,3.08,1.66,2.06,0.53,0.06,0.120"
"account,,""4,016"",4.10,0.02,1.10,0.02,2.67,0.01,0.14,0.01,2.18,2.29,30,5.25,2.06,2.35,0.64,0.04,0.195"
"Inspiration - Sartoria Solomeo,,""2,749"",2.63,0.01,0.39,0.01,2.04,0.01,0.00,0.01,0.98,1.02,0,1.75,1.31,1.86,0.71,0.03,0.055"
"contactus,,""2,114"",3.74,0.01,0.66,0.01,2.90,0.01,0.01,0.02,1.58,1.62,0,3.39,1.86,2.11,0.31,0.04,0.142"
"exclusive-service,,""2,059"",2.49,0.01,0.59,0.01,1.79,0.01,0.01,0.01,1.32,1.44,0,3.13,1.49,1.60,0.30,0.03,0.053"
"404,,""1,752"",2.67,0.03,0.45,0.01,1.77,0.01,0.06,0.01,1.47,1.47,0,4.88,3.11,3.75,2.52,0.03,0.123"
"Inspiration - Stories,,""1,463"",4.83,0.02,0.36,0.01,3.94,0.02,0.17,0.01,1.51,1.58,0,2.81,1.37,1.93,0.44,0.04,0.250"
