pageCategory,Sessioni,% uscita,Frequenza di rimbalzo
product-list,327.551,"32,10%","49,45%"
homepage,189.866,"15,14%","14,27%"
Discovery,11.253,"7,30%","18,35%"
product-detail,5.321,"21,69%","0,00%"
checkout,253,"16,93%","0,00%"
Inspiration,192,"12,46%","0,00%"
boutique-locator,57,"32,45%","0,00%"
account,42,"12,15%","0,00%"
wishlist,35,"13,79%","0,00%"
service,26,"20,35%","0,00%"
,534.639,"25,46%","35,75%"
